ID;population;area;density;name;borders;neighbours;
ASCII;Hauptwohnsitze;inkm²;Einwohner/km²;korrekterName;Anzahl;ASCII;
Maeder;4142;3,2;1294,38;Mäder;3;Altach,Koblach,Goetzis;
Altach;6951;5,4;1287,22;Altach;3;Hohenems,Maeder,Goetzis;
Lustenau;23597;22,3;1058,16;Lustenau;5;Hoechst,Fussach,Lauterach,Dornbirn,Hohenems;
Feldkirch;34978;34,4;1016,80;Feldkirch;4;Meiningen,Frastanz,Rankweil,Goefis;
Bregenz;29526;30,0;984,20;Bregenz;7;Hard,Lauterach,Wolfurt,Kennelbach,Buch,Langen,Lochau;
Lauterach;10399;11,9;873,87;Lauterach;6;Fussach,Lustenau,Hard,Bregenz,Wolfurt,Dornbirn;
Sulz;2608;3,0;869,33;Sulz;3;Roethis,Zwischenwasser,Rankweil;
Wolfurt;8680;10,0;868,00;Wolfurt;7;Lauterach,Kennelbach,Schwarzach,Bildstein,Buch,Bregenz,Dornbirn;
Goetzis;11842;14,6;811,10;Götzis;6;Hohenems,Altach,Fraxern,Maeder,Koblach,Klaus;
Roethis;2173;2,7;804,81;Röthis;4;Weiler,Viktorsberg,Zwischenwasser,Sulz;
Schwarzach;3940;4,9;804,08;Schwarzach;3;Dornbirn,Bildstein,Wolfurt;
Hard;13820;17,9;772,07;Hard;3;Fussach,Bregenz,Lauterach;
Hoerbranz;6653;8,7;764,71;Hörbranz;4;Hohenweiler,Lochau,Moeggers,Eichenberg;
Weiler;2232;3,1;720,00;Weiler;4;Klaus,Fraxern,Viktorsberg,Sulz;
Lochau;6369;10,3;618,35;Lochau;3;Bregenz,Hoerbranz,Eichenberg;
Klaus;3083;5,2;592,88;Klaus;4;Goetzis,Koblach,Fraxern,Weiler;
Kennelbach;1863;3,2;582,19;Kennelbach;2;Bregenz,Wolfurt;
Hohenems;16955;29,2;580,65;Hohenems;5;Lustenau,Dornbirn,Goetzis,Altach,Fraxern;
Rankweil;12031;21,9;549,36;Rankweil;7;Feldkirch,Meiningen,Koblach,Sulz,Zwischenwasser,Uebersaxen,Goefis;
Bludenz;14964;30,0;498,80;Bludenz;8;Nueziders,Raggal,Innerbraz,Stallehr,Loruens,Sankt_Anton,Bartholomaeberg,Buers;
Koblach;4819;10,3;467,86;Koblach;5;Klaus,Goetzis,Maeder,Meiningen,Rankweil;
Meiningen;2372;5,4;439,26;Meiningen;3;Feldkirch,Rankweil,Koblach;
Schlins;2507;6,0;417,83;Schlins;5;Nenzing,Satteins,Roens,Schnifis,Bludesch;
Dornbirn;50448;120,9;417,27;Dornbirn;14;Lustenau,Lauterach,Wolfurt,Schwarzach,Alberschwende,Schwarzenberg,Reuthe,Mellau,Damuels,Laterns,Viktorsberg,Fraxern,Hohenems,Bildstein;
Hoechst;8235;21,0;392,14;Höchst;3;Gaissau,Lustenau,Fussach;
Thueringen;2235;5,7;392,11;Thüringen;4;Bludesch,Ludesch,Thueringerberg,Schnifis;
Goefis;3336;9,1;366,59;Göfis;4;Feldkirch,Rankweil,Satteins,Frastanz;
Bludesch;2517;7,6;331,18;Bludesch;5;Nenzing,Schlins,Schnifis,Thueringen,Ludesch;
Fussach;3916;11,9;329,08;Fußach;4;Hoechst,Hard,Lustenau,Lauterach;
Ludesch;3660;11,3;323,89;Ludesch;4;Thueringen,Thueringerberg,Raggal,Nueziders;
Gaissau;1878;5,8;323,79;Gaißau;1;Hoechst;
Roens;372;1,4;265,71;Röns;4;Satteins,Schlins,Duens,Schnifis;
Lingenau;1557;6,9;225,65;Lingenau;4;Egg,Hittisau,Langenegg,Alberschwende;
Nueziders;4961;22,1;224,48;Nüziders;6;Ludesch,Raggal,Bludenz,Buers,Buerserberg,Nenzing;
Schruns;3966;18,1;219,12;Schruns;4;Sankt_Gallenkirch,Silbertal,Tschagguns,Bartholomaeberg;
Satteins;2716;12,7;213,86;Satteins;9;Goefis,Rankweil,Frastanz,Nenzing,Schlins,Roens,Duens,Duenserberg,Uebersaxen;
Sankt_Anton;701;3,4;206,18;St.Antoni.M.;3;Bartholomaeberg,Vandans,Loruens;
Frastanz;6595;32,3;204,18;Frastanz;4;Feldkirch,Goefis,Nenzing,Satteins;
Stallehr;280;1,6;175,00;Stallehr;2;Bludenz,Loruens;
Schnifis;814;4,9;166,12;Schnifis;7;Duens,Duenserberg,Roens,Schlins,Bludesch,Thueringen,Thueringerberg;
Hohenweiler;1331;8,4;158,45;Hohenweiler;2;Hoerbranz,Moeggers;
Alberschwende;3209;21,1;152,09;Alberschwende;9;Dornbirn,Bildstein,Buch,Langen,Doren,Lingenau,Langenegg,Egg,Schwarzenberg;
Zwischenwasser;3350;22,6;148,23;Zwischenwasser;5;Viktorsberg,Laterns,Rankweil,Sulz,Weiler;
Buers;3372;24,6;137,07;Bürs;6;Bludenz,Buerserberg,Brand,Vandans,Loruens,Nueziders;
Andelsbuch;2651;19,6;135,26;Andelsbuch;4;Schwarzenberg,Egg,Bezau,Reuthe;
Krumbach;1073;8,7;123,33;Krumbach;4;Doren,Riefensberg,Hittisau,Langenegg;
Duens;417;3,5;119,14;Düns;4;Roens,Satteins,Duenserberg,Schnifis;
Langenegg;1159;10,5;110,38;Langenegg;5;Doren,Krumbach,Hittisau,Lingenau,Alberschwende;
Uebersaxen;618;5,8;106,55;Übersaxen;4;Rankweil,Laterns,Duenserberg,Satteins;
Buch;599;6,1;98,20;Buch;5;Bregenz,Langen,Alberschwende,Bildstein,Wolfurt;
Bildstein;811;9,1;89,12;Bildstein;5;Dornbirn,Alberschwende,Buch,Wolfurt,Schwarzach;
Bartholomaeberg;2373;27,2;87,24;Bartholomäberg;6;Schruns,Silbertal,Vandans,Sankt_Anton,Innerbraz,Dalaas;
Fraxern;730;8,9;82,02;Fraxern;5;Goetzis,Viktorsberg,Klaus,Weiler,Dornbirn;
Sulzberg;1875;23,1;81,10;Sulzberg;3;Langen,Doren,Riefensberg;
Doren;1037;14,2;73,03;Doren;5;Alberschwende,Langenegg,Krumbach,Sulzberg,Langen;
Riefensberg;1068;14,9;71,68;Riefensberg;3;Sulzberg,Krumbach,Hittisau;
Schwarzenberg;1825;25,8;70,74;Schwarzenberg;5;Dornbirn,Alberschwende,Egg,Andelsbuch,Reuthe;
Langen;1532;21,9;69,95;LangenbeiBregenz;5;Bregenz,Eichenberg,Sulzberg,Doren,Buch;
Thueringerberg;723;10,4;69,52;Thüringerberg;5;Thueringen,Laterns,Schnifis,Ludesch,Sankt_Gerold;
Reuthe;697;10,2;68,33;Reuthe;6;Dornbirn,Schwarzenberg,Andelsbuch,Bezau,Bizau,Mellau;
Bezau;2021;34,4;58,75;Bezau;6;Bizau,Schoppernau,Mittelberg,Egg,Andelsbuch,Reuthe;
Nenzing;6215;110,2;56,40;Nenzing;8;Frastanz,Satteins,Schlins,Bludesch,Brand,Buerserberg,Nueziders,Ludesch;
Egg;3629;65,4;55,49;Egg;8;Bezau,Andelsbuch,Schwarzenberg,Alberschwende,Lingenau,Hittisau,Sibratsgfaell,Mittelberg;
Bizau;1117;21,1;52,94;Bizau;3;Schnepfau,Reuthe,Bezau;
Mittelberg;5097;96,9;52,60;Mittelberg;5;Schoppernau,Egg,Bezau,Schroecken,Warth;
Vandans;2765;53,8;51,39;Vandans;4;Dalaas,Bartholomaeberg,Raggal,Bludenz;
Innerbraz;1011;19,9;50,80;Innerbraz;6;Brand,Buers,Loruens,Sankt_Anton,Tschagguns,Bartholomaeberg;
Moeggers;555;11,4;48,68;Möggers;4;Hohenweiler,Hoerbranz,Eichenberg,Langen;
Hittisau;2072;46,7;44,37;Hittisau;6;Riefensberg,Krumbach,Langenegg,Lingenau,Egg,Sibratsgfaell;
Buerserberg;561;13,7;40,95;Bürserberg;4;Brand,Nenzing,Nueziders,Buers;
Au;1807;45,0;40,16;Au;6;Mellau,Schnepfau,Damuels,Fontanella,Schoppernau,Sonntag;
Tschagguns;2160;57,6;37,50;Tschagguns;3;Vandans,Sankt_Gallenkirch,Schruns;
Eichenberg;420;11,6;36,21;Eichenberg;4;Lochau,Langen,Moeggers,Hoerbranz;
Loruens;299;8,4;35,60;Lorüns;5;Stallehr,Bludenz,Buers,Vandans,Sankt_Anton;
Viktorsberg;421;12,5;33,68;Viktorsberg;5;Dornbirn,Fraxern,Weiler,Roethis,Zwischenwasser;
Sankt_Gerold;395;12,6;31,35;St.Gerold;5;Schnepfau,Au,Reuthe,Dornbirn,Damuels;
Mellau;1263;40,6;31,11;Mellau;4;Laterns,Blons,Raggal,Thueringerberg;
Schnepfau;479;16,5;29,03;Schnepfau;3;Mellau,Bizau,Au;
Duenserberg;146;5,6;26,07;Dünserberg;5;Duens,Uebersaxen,Laterns,Schnifis,Satteins;
Blons;341;14,9;22,89;Blons;5;Laterns,Sankt_Gerold,Raggal,Sonntag,Fontanella;
Raggal;877;41,6;21,08;Raggal;8;Bludenz,Nueziders,Ludesch,Sankt_Gerold,Blons,Sonntag,Dalaas,Innerbraz;
Schoppernau;937;47,6;19,68;Schoppernau;5;Au,Mittelberg,Bezau,Schroecken,Sonntag;
Brand;758;40,3;18,81;Brand;4;Nenzing,Buerserberg,Vandans,Buers;
Lech;1595;90,0;17,72;Lech;7;Silbertal,Kloesterle,Bartholomaeberg,Lech,Sonntag,Innerbraz,Raggal;
Dalaas;1662;94,3;17,62;Dalaas;5;Warth,Schroecken,Sonntag,Dalaas,Kloesterle;
Sankt_Gallenkirch;2208;128,1;17,24;St.Gallenkirch;5;Laterns,Thueringerberg,Blons,Raggal,Ludesch;
Damuels;329;20,9;15,74;Damüls;5;Mellau,Dornbirn,Au,Laterns,Fontanella;
Laterns;678;43,8;15,48;Laterns;4;Damuels,Au,Sonntag,Blons;
Sibratsgfaell;448;29,3;15,29;Sibratsgfäll;8;Dornbirn,Zwischenwasser,Uebersaxen,Duenserberg,Thueringerberg,Sankt_Gerold,Blons,Damuels;
Fontanella;460;31,2;14,74;Fontanella;2;Hittisau,Egg;
Kloesterle;673;62,3;10,80;Klösterle;3;Lech,Dalaas,Silbertal;
Silbertal;846;88,7;9,54;Silbertal;6;Gaschurn,Sankt_Gallenkirch,Schruns,Bartholomaeberg,Dalaas,Kloesterle;
Schroecken;209;23,4;8,93;Schröcken;5;Lech,Warth,Mittelberg,Schoppernau,Sonntag;
Warth;169;19,3;8,76;Warth;3;Mittelberg,Schroecken,Lech;
Gaschurn;1445;175,4;8,24;Gaschurn;2;Silbertal,Sankt_Gallenkirch;
Sonntag;639;81,6;7,83;Sonntag;8;Fontanella,Au,Schoppernau,Schroecken,Lech,Dalaas,Raggal,Blons;
Vorarlberg;401848;2603,2;154,37;Vorarlberg;;;
